Time,ABSOLUTE_TIME,Plane_Altitude,Indicated_Altitude,Airspeed_True,Airspeed_Indicated,Plane_Pitch_Degrees,Plane_Bank_Degrees,Plane_Heading_Degrees_True,Plane_Heading_Degrees_Magnetic,Acceleration_Body_X,Acceleration_Body_Y,Acceleration_Body_Z,Plane_Latitude,Plane_Longitude,Incidence_Alpha,Incidence_Beta,Rotation_Velocity_Body_X,Rotation_Velocity_Body_Y,Rotation_Velocity_Body_Z,General_Eng_RPM_1,General_Eng_RPM_2,General_Eng_RPM_3,General_Eng_RPM_4,Elevator_Deflection,Rudder_Deflection,Aileron_Left_Deflection,Aileron_Right_Deflection,Trailing_Edge_Flaps_Left_Angle,Trailing_Edge_Flaps_Right_Angle,Leading_Edge_Flaps_Left_Angle,Leading_Edge_Flaps_Right_Angle,Spoilers_Left_Position,Spoilers_Right_Position,Gear_Center_Position,Gear_Left_Position,Gear_Right_Position
4.055496216,63726135145,2096.339284,2103.7854,119.1595078,115.8747559,15.60191767,-6.433914488,285.8080936,272.9341971,0.139266211,0.032252424,0.082318434,34.15228432,-118.36975,2.965406243,-0.2869994,-0.717979004,3.484527744,25.48204927,3674.934614,3674.954385,0,0,2.704924453,0,-9.614134865,-5.768480919,42,42,0,0,0,0,1,1,1
4.111000061,63726135145,2090.540877,2097.935303,119.3381958,116.0329895,15.51218947,-4.192718249,286.1475242,273.2736276,0.105864561,0.057200778,0.08165862,34.15229668,-118.3698031,3.090494114,-0.593921447,-1.877302777,3.516747558,22.25887256,3676.917462,3676.937419,0,0,2.704924453,0,-9.614134865,-5.768480919,42,42,0,0,0,0,1,1,1
4.222198486,63726135145,2084.324367,2091.759521,119.4277802,116.1772461,15.29794864,-2.043212926,286.5123157,273.6384192,0.075661216,0.082828008,0.080674026,34.15231005,-118.3698602,3.203992007,-0.98823179,-2.844840285,3.462423237,20.11375976,3679.100783,3679.120932,0,0,2.704924453,0,-9.614134865,-5.768480919,42,42,0,0,0,0,1,1,1
4.388801575,63726135145,2075.088633,2082.498535,119.6094894,116.3904572,14.71004523,0.97123472,287.0200614,274.1461648,0.03268854,0.119148129,0.069155052,34.1523301,-118.3699453,3.681839512,-1.543862236,-6.161475912,3.278982814,20.60643236,3682.514283,3682.534707,0,0,5.26228692,0,-12.87748596,-7.726491577,42,42,0,0,0,0,1,1,1
4.444396973,63726135146,2069.060202,2076.428467,119.6018982,116.4944916,13.99359168,3.035672591,287.3123875,274.438491,0.015325278,0.234546543,0.070952394,34.1523433,-118.3700011,4.134706667,-1.964554931,-8.545339391,3.244430332,21.3061359,3684.772063,3684.792659,0,0,5.26228692,0,-12.87748596,-7.726491577,42,42,0,0,0,0,1,1,1
4.555496216,63726135146,2064.642489,2071.996826,119.6061401,116.5399933,13.34376065,4.573317244,287.5007377,274.6268412,0.000552386,0.326038231,0.071694329,34.15235306,-118.3700423,4.538041291,-2.299989577,-9.559216793,3.202321665,21.31548146,3686.386708,3686.407427,0,0,5.26228692,0,-12.87748596,-7.726491577,42,42,0,0,0,0,1,1,1
4.722198486,63726135146,2053.539495,2060.679199,119.502121,116.5856476,11.54741322,8.391296387,287.8499807,274.9760842,-0.028672941,0.585607489,0.079454759,34.15237816,-118.3701487,5.44646328,-3.159676032,-8.517514525,2.696619925,19.51415114,3690.299498,3690.32052,0,0,2.370631683,0,-8.703986686,-5.222392011,42,42,0,0,0,0,1,1,1
4.777702332,63726135146,2048.104667,2055.117676,119.4328537,116.5595016,10.95660698,9.972249549,287.9747695,275.100873,-0.042948554,0.649457912,0.07172369,34.15239091,-118.370203,5.398815454,-3.591006107,-3.483890804,1.905665046,14.10466238,3692.082303,3692.10347,0,0,0.300846793,0,-3.721813147,-2.233087888,42,42,0,0,0,0,1,1,1
4.999900818,63726135146,2037.27729,2043.904175,119.5586472,116.5743408,11.29825816,11.38465365,288.1529744,275.2790778,-0.077747329,0.34345661,0.035532615,34.15241742,-118.3703175,4.050316692,-3.987883213,6.204007331,-0.948565507,1.097152048,3695.730695,3695.752152,0,0,0,0,0,0,42,42,0,0,0,0,1,1,1
5.166595459,63726135146,2028.142201,2034.55481,119.8399048,116.718895,12.63279602,11.02596226,288.0462059,275.1723093,-0.093886761,-0.053109969,0.021151531,34.15244043,-118.3704183,2.553873258,-3.748891052,7.673928526,-3.288488341,-4.192158388,3699.19083,3699.212524,0,0,1.975932569,0,0,0,42,42,0,0,0,0,1,1,1
5.222198486,63726135146,2024.033347,2030.392578,120.0069733,116.8321075,13.16379968,10.6253573,287.8566136,274.982717,-0.094230053,-0.142689126,0.021219574,34.15245073,-118.3704637,2.264812608,-3.540248837,5.047113157,-4.167051455,-5.262394217,3700.909842,3700.931638,0,0,2.776308585,0,0,0,42,42,0,0,0,0,1,1,1
5.333297729,63726135146,2018.118589,2024.51355,120.1790009,117.0029831,13.57651386,9.915336395,287.4023399,274.5284433,-0.097074996,-0.147805674,0.028616941,34.15246535,-118.3705282,2.10999079,-3.104206572,1.224714925,-5.298699301,-5.76246937,3703.49975,3703.521686,0,0,2.298869571,0,0,0,42,42,0,0,0,0,1,1,1
5.499900818,63726135147,2009.242947,2015.650269,120.3804932,117.2525864,13.61256702,8.813947616,286.4142374,273.5403408,-0.104002831,-0.047903702,0.035211083,34.15248689,-118.3706237,2.397941533,-2.267214487,-2.407620303,-6.640938849,-4.994268969,3707.549945,3707.572078,0,0,2.105435484,0,0.007098331,0.011830552,42,42,0,0,0,0,1,1,1
5.611000061,63726135147,2004.167679,2010.618286,120.4578705,117.3716888,13.43140137,8.240096848,285.7399555,272.8660589,-0.108584546,0.033997419,0.038066424,34.15249904,-118.3706779,2.716164956,-1.69129379,-3.642920405,-7.136261323,-4.226670424,3709.899639,3709.921877,0,0,2.105435484,0,0.007098331,0.011830552,42,42,0,0,0,0,1,1,1
5.666595459,63726135147,2000.25451,2006.719971,120.5123444,117.4522705,13.22937718,7.842845952,285.1876831,272.3137866,-0.11331389,0.094666709,0.039689096,34.15250835,-118.3707197,2.954627564,-1.25065801,-4.236949838,-7.374230679,-3.543502563,3711.723083,3711.7454,0,0,2.105435484,0,0.007098331,0.011830552,42,42,0,0,0,0,1,1,1
5.722198486,63726135147,1996.523176,2002.997925,120.5326233,117.517395,13.0052283,7.509548877,284.6461705,271.772274,-0.118694875,0.142236873,0.038969462,34.15251721,-118.3707597,3.160067274,-0.809218241,-4.604727652,-7.476643418,-2.795895727,3713.452802,3713.475193,0,0,2.567331753,0,0.015950811,0.026584685,42,42,0,0,0,0,1,1,1
5.944396973,63726135147,1985.711294,1992.167725,120.5189743,117.6034164,11.92522769,6.841253426,283.0345157,270.1606191,-0.137244336,0.312944971,0.035271036,34.15254283,-118.3708768,4.048087916,0.439171639,-9.07000044,-7.09823006,-0.427470595,3718.275195,3718.29779,0,0,4.998771479,0,0,0,42,42,0,0,0,0,1,1,1
5.999900818,63726135147,1981.340049,1987.741333,120.4557037,117.6233521,11.21156257,6.716293727,282.3843521,269.5104556,-0.148897873,0.435124449,0.040981683,34.15255322,-118.3709251,4.547339313,0.877201835,-10.38259581,-6.640872917,0.567342876,3720.158706,3720.18138,0,0,4.485981706,0,0,0,42,42,0,0,0,0,1,1,1
6.055496216,63726135147,1976.659561,1982.956787,120.2939377,117.5822449,10.38871687,6.686174475,281.7251856,268.851289,-0.161047868,0.559209088,0.04516437,34.15256444,-118.3709779,5.042057598,1.313601511,-9.801648679,-5.918193919,1.553493966,3722.003557,3722.026314,0,0,3.516041584,0,0,0,42,42,0,0,0,0,1,1,1
